"","prior","estimate","bf01"
"1","normal(-0.12,0.1)","-0.121522446830643","0.790626939397853"
"2","normal(-0.12,0.2)","-0.121138135238441","1.18640529885498"
"3","normal(-0.12,0.3)","-0.122781355624334","1.60130153123781"
"4","normal(-0.12,0.4)","-0.122270210004678","2.15905407363043"
"5","normal(-0.12,0.5)","-0.122628288684643","2.65041785652267"
"6","normal(-0.12,0.6)","-0.122008027832751","2.92973238200517"
"7","normal(-0.12,0.7)","-0.120134852029999","3.67963724619388"
"8","normal(-0.12,0.8)","-0.121960903096405","4.135546758165"
"9","normal(-0.12,0.9)","-0.123172690883434","4.52742343712074"
"10","normal(-0.12,1)","-0.124419995505184","5.06736532858631"
"11","normal(-0.06,0.1)","-0.0836618076689357","0.865492588189367"
"12","normal(-0.06,0.2)","-0.105573281206915","1.2197455973251"
"13","normal(-0.06,0.3)","-0.111839668728787","1.56735839239605"
"14","normal(-0.06,0.4)","-0.11675370261026","2.09473766975688"
"15","normal(-0.06,0.5)","-0.119745750608538","2.67116935424013"
"16","normal(-0.06,0.6)","-0.122313333565903","3.01221066552379"
"17","normal(-0.06,0.7)","-0.122712459796512","3.33663809710997"
"18","normal(-0.06,0.8)","-0.121684831184742","4.18590495421523"
"19","normal(-0.06,0.9)","-0.118394441565319","4.45920162661419"
"20","normal(-0.06,1)","-0.120285830933699","4.92127635124815"
"21","normal(0,0.1)","-0.0450693649233492","1.05837988882519"
"22","normal(0,0.2)","-0.0839925834361075","1.31663772669634"
"23","normal(0,0.3)","-0.0997062156702876","1.76751022130028"
"24","normal(0,0.4)","-0.110664886975886","2.109670986226"
"25","normal(0,0.5)","-0.11505394755924","2.71796371303226"
"26","normal(0,0.6)","-0.117927327838861","3.21342065423798"
"27","normal(0,0.7)","-0.118515216706741","3.59165489303997"
"28","normal(0,0.8)","-0.119292751499916","4.05729928554204"
"29","normal(0,0.9)","-0.121301793046925","4.44510169735247"
"30","normal(0,1)","-0.11841747465626","5.23144385274924"
"31","normal(0.06,0.1)","-0.00647080913987075","1.51262069722723"
"32","normal(0.06,0.2)","-0.0665850670409923","1.52334016018591"
"33","normal(0.06,0.3)","-0.0885242571179574","1.82873842657768"
"34","normal(0.06,0.4)","-0.103347861375425","2.15621934199494"
"35","normal(0.06,0.5)","-0.107912967705401","2.61171509639284"
"36","normal(0.06,0.6)","-0.114416864514059","3.14661906047094"
"37","normal(0.06,0.7)","-0.117732722944753","3.55967956897919"
"38","normal(0.06,0.8)","-0.116556715289059","3.94562099809385"
"39","normal(0.06,0.9)","-0.118846448262269","4.49487129785433"
"40","normal(0.06,1)","-0.119121115450443","4.84550403424923"
"41","normal(0.12,0.1)","0.0336992243409957","2.38232603787224"
"42","normal(0.12,0.2)","-0.0466493814503159","1.98055542308178"
"43","normal(0.12,0.3)","-0.0831591685161071","2.07321172577097"
"44","normal(0.12,0.4)","-0.0983910364440538","2.40288970094938"
"45","normal(0.12,0.5)","-0.107715634585574","2.84041125730042"
"46","normal(0.12,0.6)","-0.110923612358634","3.23580835920368"
"47","normal(0.12,0.7)","-0.115664940136353","3.73591694880315"
"48","normal(0.12,0.8)","-0.114414166148058","4.33410914818267"
"49","normal(0.12,0.9)","-0.117708412055528","4.71319137587744"
"50","normal(0.12,1)","-0.116957007746972","5.30087399067379"
